iter	RMSE
667	0.1863405252
668	0.1861027033
669	0.1860494474
670	0.1860200838
671	0.185660679
672	0.1851736114
673	0.1848942795
674	0.1848519072
675	0.1845943412
676	0.1842845848
677	0.1839202517
678	0.1836532764
679	0.183327368
680	0.1832864763
681	0.1831009843
682	0.1827366297
683	0.1826368668
684	0.1822369247
685	0.1821518628
686	0.1819302466
687	0.1819155368
688	0.1817330671
689	0.1815325304
690	0.1812239535
691	0.1808927459
692	0.1806025737
693	0.1804591454
694	0.1802521296
695	0.179959321
696	0.1797480555
697	0.1797342634
698	0.1794462256
699	0.1791119196
700	0.1790491288
701	0.1787823398
702	0.1785045028
703	0.178133104
704	0.1778802611
705	0.1777084455
706	0.1775351609
707	0.1775222595
708	0.1774582503
709	0.1771392343
710	0.1768498443
711	0.1768196199
712	0.176569108
713	0.1762832923
714	0.1760224422
715	0.1757368053
716	0.1756650243
717	0.1753664457
718	0.1751123537
719	0.175026667
720	0.1750152529
721	0.1748582583
722	0.1745795088
723	0.1745642531
724	0.1742284858
725	0.1740237157
726	0.1737762235
727	0.1735722197
728	0.1733820775
729	0.1732929969
730	0.172992035
731	0.1727899513
732	0.1724538487
733	0.1723567212
734	0.1720811089
735	0.1719235979
736	0.1719090018
737	0.1718838999
738	0.1717893496
739	0.1714630647
740	0.1711448064
741	0.1711298279
742	0.1709263232
743	0.1706415674
744	0.1702486587
745	0.1700832656
746	0.1699485412
747	0.1697747628
748	0.1696106685
749	0.1694717344
750	0.1694586713
751	0.1691762709
752	0.1689643996
753	0.1687183436
754	0.1685140625
755	0.168428818
756	0.1682182173
757	0.1679295846
758	0.1676673518
759	0.1674427719
760	0.167169052
761	0.1671092467
762	0.1668716108
763	0.1666057372
764	0.166416793
765	0.1662779482
766	0.1659813538
767	0.1657513129
768	0.1655323093
769	0.1653856439
770	0.1650731221
771	0.1648246824
772	0.1646928845
773	0.1644102641
774	0.1641580533
775	0.1639481706
776	0.1637425278
777	0.1634997963
778	0.1634658469
779	0.1633574534
780	0.1629962055
781	0.1628915265
782	0.1626866942
783	0.1626778511
784	0.1624096913
785	0.1622081878
786	0.1620479504
787	0.1618890091
788	0.1616047994
789	0.161370499
790	0.1611840593
791	0.161105
792	0.1610891417
793	0.1610066782
794	0.1609960903
795	0.1608051518
796	0.1605642093
797	0.160463724
798	0.16037581
799	0.1600516441
800	0.1598080766
801	0.1594955539
802	0.159464856
803	0.1594404048
804	0.1592238054
805	0.1590591077
806	0.1588955409
807	0.1586423003
808	0.1585264441
809	0.1583325941
810	0.1582093804
811	0.1580228889
812	0.1577702578
813	0.1575305825
814	0.1573175459
815	0.1571703594
816	0.1569106337
817	0.1567363041
818	0.1564885624
819	0.1563566253
820	0.1562071494
821	0.1561474852
822	0.1560097258
823	0.1559183128
824	0.1558189821
825	0.1556557594
826	0.1554664878
827	0.1552678623
828	0.1551631131
829	0.1550065588
830	0.1549795315
831	0.1547042074
832	0.1545475157
833	0.1543540856
834	0.15405742
835	0.1538060173
836	0.153732547
837	0.1534972859
838	0.1534523637
839	0.153197584
840	0.1531128754
841	0.153042685
842	0.1527407469
843	0.152570189
844	0.1524640334
845	0.1523762082
846	0.1521083125
847	0.1519017342
848	0.1516124372
849	0.1514151268
850	0.1512069413
851	0.1509255525
852	0.1508051756
853	0.1507552503
854	0.1505879676
855	0.1503561558
856	0.1502521958
857	0.1501967547
858	0.1499274079
859	0.1496798805
860	0.1495829932
861	0.1494429093
862	0.149297449
863	0.1491522253
864	0.1488773777
865	0.1488517787
866	0.1486281217
867	0.1485488699
868	0.1484366991
869	0.1482034364
870	0.147945028
871	0.1477574384
872	0.1475864024
873	0.1473840446
874	0.1471227967
875	0.1470585404
876	0.1468316076
877	0.14681758
878	0.146627457
879	0.1464700267
880	0.1463794709
881	0.1461879107
882	0.1459718175
883	0.1459018951
884	0.1457271083
885	0.1455571427
886	0.1454223524
887	0.1452833621
888	0.1451563695
889	0.1449353441
890	0.1448553706
891	0.1447045816
892	0.1444135836
893	0.1442733462
894	0.1441959984
895	0.144014579
896	0.1438061712
897	0.1436194273
898	0.1434316688
899	0.1432378501
900	0.1429668225
901	0.1427063013
902	0.14256288
903	0.1423585097
904	0.1421719252
905	0.1420079005
906	0.1418099672
907	0.1415660716
908	0.1413566734
909	0.1412730174
910	0.1411405741
911	0.1411207271
912	0.1409885057
913	0.140761275
914	0.140752375
915	0.1406576554
916	0.1405278574
917	0.1402445653
918	0.1400409611
919	0.1399247992
920	0.1396658848
921	0.1395040244
922	0.1393166093
923	0.1392756745
924	0.1392556442
925	0.1391897829
926	0.1390328376
927	0.1390205948
928	0.138967863
929	0.1387447442
930	0.1385945955
931	0.1383746334
932	0.1381208936
933	0.1380407416
934	0.1379175395
935	0.1377517889
936	0.1375615786
937	0.1374516818
938	0.137418595
939	0.1372802063
940	0.1371056488
941	0.1369074155
942	0.1368926899
943	0.1368206392
944	0.1367516457
945	0.1366620107
946	0.1364321672
947	0.1362799577
948	0.1361780712
949	0.1360369484
950	0.135943623
951	0.1357589154
952	0.1356197929
953	0.1355529634
954	0.1354423053
955	0.1351947523
956	0.1350036949
957	0.1347526227
958	0.1346802496
959	0.1345446922
960	0.1342958989
961	0.1342369116
962	0.1340879481
963	0.1340462313
964	0.1338894146
965	0.1336690733
966	0.1334312127
967	0.1334170268
968	0.1332554528
969	0.1330813868
970	0.1328095116
971	0.1326286333
972	0.1324738549
973	0.1323414919
974	0.1321866854
975	0.1319580174
976	0.1318235971
977	0.1316456011
978	0.1314249697
979	0.1311884041
980	0.1309244504
981	0.1308261506
982	0.1307201432
983	0.1306343687
984	0.1304990809
985	0.1302513008
986	0.130152467
987	0.1300318471
988	0.1297866683
989	0.1296561189
990	0.12948807
991	0.129481849
992	0.1292869529
993	0.1291450874
994	0.128952481
995	0.1288793353
996	0.1288108852
997	0.1286895649
998	0.128532998
999	0.1284595763
